|6.6.6
1,0_0,2_0,0_0,0_0,0_0,0_MANTLE_1.tab                                                                
           2
T(K)    
   2200.0000000000000     
   456.41025641025641     
          40
P(bar)  
   1250000.0000000000     
   4839743.5897435900     
          40
          23
T(K)           P(bar)         rho,kg/m3      v0,km/s        vp,km/s        vs,km/s        alpha,1/K      cp,J/K/kg      Wus,mo%        Pv,mo%         an,mo%         O,mo%          Wad,mo%        Ring,mo%       Gt_maj,mo%     Ppv,mo%        st,mo%         q,mo%          ca-pv,mo%      cfs,mo%        coe,mo%        ky,mo%         seif,mo%      
  3569.231      0.1092949E+08   9597.564       18.26906       21.37410       9.608330      0.1414939E-05   1229.388       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  4025.641      0.1092949E+08   9591.352       18.25906       21.29448       9.489273      0.1421947E-05   1233.326       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  4482.051      0.1092949E+08   9585.117       18.24903       21.21336       9.366669      0.1427822E-05   1236.264       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  4938.462      0.1092949E+08   9578.861       18.23899       21.13070       9.240365      0.1432964E-05   1238.552       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  5394.872      0.1092949E+08   9572.588       18.22893       21.04647       9.110167      0.1437611E-05   1240.399       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  5851.282      0.1092949E+08   9566.300       18.21886       20.96062       8.975836      0.1441915E-05   1241.936       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  6307.692      0.1092949E+08   9559.997       18.20879       20.87309       8.837104      0.1445973E-05   1243.250       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  6764.103      0.1092949E+08   9553.682       18.19870       20.78379       8.693663      0.1449853E-05   1244.399       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  7220.513      0.1092949E+08   9547.354       18.18862       20.69265       8.545164      0.1453601E-05   1245.423       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  7676.923      0.1092949E+08   9541.014       18.17853       20.59956       8.391213      0.1457250E-05   1246.353       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  8133.333      0.1092949E+08   9534.663       18.16843       20.50445       8.231363      0.1460823E-05   1247.208       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  8589.744      0.1092949E+08   9528.300       18.15833       20.40718       8.065107      0.1464340E-05   1248.005       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  9046.154      0.1092949E+08   9521.927       18.14823       20.30765       7.891868      0.1467814E-05   1248.755       50.00029       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       49.99971       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
